party,candidate,vote,state,district
DEM,Blane Miller,154985,Maryland,1
DEM,Johnny Olszewski,223797,Maryland,2
REP,Kim Klacik,152079,Maryland,2
DEM,Sarah Elfreth,236681,Maryland,3
REP,Robert Steinberger,151186,Maryland,3
DEM,Glenn Ivey,239596,Maryland,4
REP,George McDermott,30454,Maryland,4
DEM,Steny Hoyer,283619,Maryland,5
REP,Michelle Talkington,133985,Maryland,5
DEM,April McClain Delaney,199788,Maryland,6
REP,Neil Parrott,175974,Maryland,6
DEM,Kweisi Mfume,232849,Maryland,7
REP,Scott Collier,49799,Maryland,7
DEM,Jamie Raskin,292101,Maryland,8
REP,Cheryl Riley,77821,Maryland,8
DEM,Richard Neal,223325,Massachusetts,1
IND,Nadia Milleron,133552,Massachusetts,1
DEM,Jim McGovern,251441,Massachusetts,2
IND,Cornelius Shea,114065,Massachusetts,2
DEM,Lori Trahan,264698,Massachusetts,3
DEM,Jake Auchincloss,289374,Massachusetts,4
DEM,Katherine Clark,286689,Massachusetts,5
DEM,Seth Moulton,321186,Massachusetts,6
DEM,Ayanna Pressley,232094,Massachusetts,7
DEM,Stephen Lynch,265432,Massachusetts,8
REP,Rob Burke,110638,Massachusetts,8
DEM,Bill Keating,251931,Massachusetts,9
REP,Dan Sullivan,193822,Massachusetts,9
REP,Jack Bergman,282264,Michigan,1
DEM,Callie Barr,180937,Michigan,1
REP,John Moolenaar,279167,Michigan,2
DEM,Michael Lynch,135824,Michigan,2
DEM,Hillary Scholten,225510,Michigan,3
REP,Paul Hudson,183952,Michigan,3
REP,Bill Huizenga,234489,Michigan,4
DEM,Jessica Swartz,184641,Michigan,4
REP,Tim Walberg,269215,Michigan,5
DEM,Libbi Urban,134282,Michigan,5
DEM,Debbie Dingell,281162,Michigan,6
REP,Heather Smiley,158658,Michigan,6
REP,Tom Barrett,226722,Michigan,7
DEM,Curtis Hertel,209959,Michigan,7
DEM,Kristen McDonald Rivet,217490,Michigan,8
REP,Paul Junge,189317,Michigan,8
REP,Lisa McClain,312593,Michigan,9
DEM,Clint St. Mosley,138138,Michigan,9
REP,John James,217437,Michigan,10
DEM,Carl Marlinga,191363,Michigan,10
DEM,Haley Stevens,260780,Michigan,11
REP,Nick Somberg,177432,Michigan,11
DEM,Rashida Tlaib,253354,Michigan,12
REP,James Hooper,92490,Michigan,12
DEM,Shri Thanedar,220788,Michigan,13
REP,Martell Bivings,78917,Michigan,13
REP,Brad Finstad,220929,Minnesota,1
DEM,Rachel Bohman,156375,Minnesota,1
DEM,Angie Craig,231751,Minnesota,2
REP,Joe Teirab,175621,Minnesota,2
DEM,Kelly Morrison,240209,Minnesota,3
REP,Tad Jude,170427,Minnesota,3
DEM,Betty McCollum,242802,Minnesota,4
REP,May Lor Xiong,117618,Minnesota,4
DEM,Ilhan Omar,261066,Minnesota,5
REP,Dalia Al-Aqidi,86213,Minnesota,5
REP,Tom Emmer,260095,Minnesota,6
DEM,Jeanne Hendricks,155836,Minnesota,6
REP,Michelle Fischbach,275098,Minnesota,7
DEM,AJ Peters,114979,Minnesota,7
REP,Pete Stauber,244498,Minnesota,8
DEM,Jen Schultz,176724,Minnesota,8
DEM,Donald Norcross,208808,New Jersey,1
REP,Teddy Liddell,144390,New Jersey,1
REP,Jeff Van Drew,215946,New Jersey,2
DEM,Joe Salerno,153117,New Jersey,2
DEM,Herb Conaway,202034,New Jersey,3
REP,Rajesh Mohan,169454,New Jersey,3
REP,Chris Smith,265652,New Jersey,4
DEM,Matthew Jenkins,124803,New Jersey,4
DEM,Josh Gottheimer,208359,New Jersey,5
REP,Mary Jo Guinchard,165287,New Jersey,5
DEM,Frank Pallone,170275,New Jersey,6
REP,Scott Fegler,122519,New Jersey,6
REP,Thomas Kean Jr.,223331,New Jersey,7
DEM,Sue Altman,200025,New Jersey,7
DEM,Rob Menendez,116434,New Jersey,8
REP,Anthony Valdes,68152,New Jersey,8
DEM,Nellie Pou,130514,New Jersey,9
REP,Billy Prempeh,117939,New Jersey,9
DEM,LaMonica McIver,182020,New Jersey,10
REP,Carmen Bucco,54405,New Jersey,10
DEM,Mikie Sherrill,222583,New Jersey,11
REP,Joseph Belnome,164556,New Jersey,11
DEM,Bonnie Watson Coleman,196871,New Jersey,12
REP,Darius Mayfield,117222,New Jersey,12
REP,Nicholas LaLota,226285,New York,1
DEM,John Avlon,183540,New York,1
REP,Andrew Garbarino,202597,New York,2
DEM,Rob Lubin,136371,New York,2
DEM,Thomas Suozzi,187651,New York,3
REP,Mike LiPetri,174693,New York,3
DEM,Laura Gillen,191760,New York,4
REP,Anthony D'Esposito,183157,New York,4
DEM,Gregory Meeks,168425,New York,5
REP,Paul King,62529,New York,5
DEM,Grace Meng,120205,New York,6
REP,Thomas Zmich,74559,New York,6
DEM,Nydia Velazquez,172795,New York,7
REP,Bill Kregler,48435,New York,7
