STATE,Year,Total,Dem Votes,Dem Percent,Dem EV,Rep Votes,Rep Percent,Rep EV
Colorado,1996,1510704,671152,44.4,,691848,45.8,8
Connecticut,1996,1392614,735740,52.8,8,483109,34.7,
Delaware,1996,270845,140355,51.8,3,99062,36.6,
Dist. of Col.,1996,185726,158220,85.2,3,17339,9.3,
Florida,1996,5303794,2546870,48,25,2244536,42.3,
Georgia,1996,2299071,1053849,45.8,,1080843,47,13
Hawaii,1996,360120,205012,56.9,4,113943,31.6,
Idaho,1996,491719,165443,33.6,,256595,52.2,4
Illinois,1996,4311391,2341744,54.3,22,1587021,36.8,
Indiana,1996,2135431,887424,41.6,,1006693,47.1,12
Iowa,1996,1234075,620258,50.3,7,492644,39.9,
Kansas,1996,1074300,387659,36.1,,583245,54.3,6
Kentucky,1996,1388708,636614,45.8,8,623283,44.9,
Louisiana,1996,1783959,927837,52,9,712586,39.9,
Maine,1996,605897,312788,51.6,4,186378,30.8,
Maryland,1996,1780870,966207,54.3,10,681530,38.3,
Massachusetts,1996,2556786,1571763,61.5,12,718107,28.1,
Michigan,1996,3848844,1989653,51.7,18,1481212,38.5,
Minnesota,1996,2192640,1120438,51.1,10,766476,35,
Mississippi,1996,893857,394022,44.1,,439838,49.2,7
Missouri,1996,2158065,1025935,47.5,11,890016,41.2,
Montana,1996,407261,167922,41.3,,179652,44.1,3
Nebraska,1996,677415,236761,35,,363467,53.7,5
Nevada,1996,464279,203974,43.9,4,199244,42.9,
New Hampshire,1996,499175,246214,49.3,4,196532,39.4,
New Jersey,1996,3075807,1652329,53.7,15,1103078,35.9,
New Mexico,1996,556074,273495,49.2,5,232751,41.9,
New York,1996,6316129,3756177,59.5,33,1933492,30.6,
North Carolina,1996,2515807,1107849,44,,1225938,48.7,14
North Dakota,1996,266411,106905,40.1,,125050,46.9,3
Ohio,1996,4534434,2148222,47.4,21,1859883,41,
Oklahoma,1996,1206713,488105,40.4,,582315,48.3,8
Oregon,1996,1377760,649641,47.2,7,538152,39.1,
Pennsylvania,1996,4506118,2215819,49.2,23,1801169,40,
Rhode Island,1996,390284,233050,59.7,4,104683,26.8,
South Carolina,1996,1151689,506283,44,,573458,49.8,8
South Dakota,1996,323826,139333,43,,150543,46.5,3
Tennessee,1996,1894105,909146,48,11,863530,45.6,
Texas,1996,5611644,2459683,43.8,,2736167,48.8,32
Utah,1996,665629,221633,33.3,,361911,54.4,5
Vermont,1996,258449,137894,53.4,3,80352,31.1,
Virginia,1996,2416642,1091060,45.1,,1138350,47.1,13
Washington,1996,2253837,1123323,49.8,11,840712,37.3,
West Virginia,1996,636459,327812,51.5,5,233946,36.8,
Wisconsin,1996,2196169,1071971,48.8,11,845029,38.5,
Wyoming,1996,211571,77934,36.8,,105388,49.8,3
Alabama,1992,1688060,690080,40.9,,804283,47.6,9
Alaska,1992,258506,78294,30.3,,102000,39.5,3
Arizona,1992,1486975,543050,36.5,,572086,38.5,8
Arkansas,1992,950653,505823,53.2,6,337324,35.5,
California,1992,11131721,5121325,46,54,3630574,32.6,
Colorado,1992,1569180,629681,40.1,8,562850,35.9,
Connecticut,1992,1616332,682318,42.2,8,578313,35.8,
Delaware,1992,289735,126054,43.5,3,102313,35.3,
Dist. of Col.,1992,227572,192619,84.6,3,20698,9.1,
Florida,1992,5314392,2072698,39,,2173310,40.9,25
Georgia,1992,2321125,1008966,43.5,13,995252,42.9,
Hawaii,1992,372842,179310,48.1,4,136822,36.7,
Idaho,1992,482142,137013,28.4,,202645,42,4
Illinois,1992,5050157,2453350,48.6,22,1734096,34.3,
Indiana,1992,2305871,848420,36.8,,989375,42.9,12
Iowa,1992,1354607,586353,43.3,7,504891,37.3,
Kansas,1992,1157335,390434,33.7,,449951,38.9,6
Kentucky,1992,1492900,665104,44.6,8,617178,41.3,
Louisiana,1992,1790017,815971,45.6,9,733386,41,
Maine,1992,679499,263420,38.8,4,206504,30.4,
Maryland,1992,1985046,988571,49.8,10,707094,35.6,
Massachusetts,1992,2773700,1318662,47.5,12,805049,29,
Michigan,1992,4274673,1871182,43.8,18,1554940,36.4,
Minnesota,1992,2347948,1020997,43.5,10,747841,31.9,
Mississippi,1992,981793,400258,40.8,,487793,49.7,7
Missouri,1992,2391565,1053873,44.1,11,811159,33.9,
Montana,1992,410611,154507,37.6,3,144207,35.1,
Nebraska,1992,737546,216864,29.4,,343678,46.6,5
Nevada,1992,506318,189148,37.4,4,175828,34.7,
New Hampshire,1992,537943,209040,38.9,4,202484,37.6,
New Jersey,1992,3343594,1436206,43,15,1356865,40.6,
New Mexico,1992,569986,261617,45.9,5,212824,37.3,
New York,1992,6926925,3444450,49.7,33,2346649,33.9,
North Carolina,1992,2611850,1114042,42.7,,1134661,43.4,14
North Dakota,1992,308133,99168,32.2,,136244,44.2,3
Ohio,1992,4939967,1984942,40.2,21,1894310,38.3,
Oklahoma,1992,1390359,473066,34,,592929,42.6,8
Oregon,1992,1462643,621314,42.5,7,475757,32.5,
Pennsylvania,1992,4959810,2239164,45.1,23,1791841,36.1,
Rhode Island,1992,453477,213299,47,4,131601,29,
South Carolina,1992,1202527,479514,39.9,,577507,48,8
South Dakota,1992,336254,124888,37.1,,136718,40.7,3
Tennessee,1992,1982638,933521,47.1,11,841300,42.4,
Texas,1992,6154018,2281815,37.1,,2496071,40.6,32
Utah,1992,743999,183429,24.7,,322632,43.4,5
Vermont,1992,289701,133592,46.1,3,88122,30.4,
Virginia,1992,2558665,1038650,40.6,,1150517,45,13
Washington,1992,2288230,993037,43.4,11,731234,32,
West Virginia,1992,683762,331001,48.4,5,241974,35.4,
Wisconsin,1992,2531114,1041066,41.1,11,930855,36.8,
Wyoming,1992,200598,68160,34,,79347,39.6,3
Alabama,1988,1378476,549506,39.9,,815576,59.2,9
Alaska,1988,200116,72584,36.3,,119251,59.6,3
Arizona,1988,1171873,454029,38.7,,702541,60,7
Arkansas,1988,827738,349237,42.2,,466578,56.4,6
California,1988,9887065,4702233,47.6,,5054917,51.1,47
Colorado,1988,1372394,621453,45.3,,728177,53.1,8
Connecticut,1988,1443394,676584,46.9,,750241,52,8
Delaware,1988,249891,108647,43.5,,139639,55.9,3
Dist. of Col.,1988,192877,159407,82.6,3,27590,14.3,
Florida,1988,4302313,1656701,38.5,,2618885,60.9,21
Georgia,1988,1809672,714792,39.5,,1081331,59.8,12
Hawaii,1988,354461,192364,54.3,4,158625,44.8,
Idaho,1988,408968,147272,36,,253881,62.1,4
Illinois,1988,4559120,2215940,48.6,,2310939,50.7,24
Indiana,1988,2168621,860643,39.7,,1297763,59.8,12
Iowa,1988,1225614,670557,54.7,8,545355,44.5,
Kansas,1988,993044,422636,42.6,,554049,55.8,7
Kentucky,1988,1322517,580368,43.9,,734281,55.5,9
Louisiana,1988,1628202,717460,44.1,,883702,54.3,10
Maine,1988,555035,243569,43.9,,307131,55.3,4
Maryland,1988,1714358,826304,48.2,,876167,51.1,10
Massachusetts,1988,2632805,1401415,53.2,13,1194635,45.4,
Michigan,1988,3669163,1675783,45.7,,1965486,53.6,20
Minnesota,1988,2096790,1109471,52.9,10,962337,45.9,
Mississippi,1988,931527,363921,39.1,,557890,59.9,7
Missouri,1988,2093713,1001619,47.8,,1084953,51.8,11
Montana,1988,365674,168936,46.2,,190412,52.1,4
Nebraska,1988,661465,259235,39.2,,397956,60.2,5
Nevada,1988,350067,132738,37.9,,206040,58.9,4
New Hampshire,1988,451074,163696,36.3,,281537,62.4,4
New Jersey,1988,3099553,1320352,42.6,,1743192,56.2,16
New Mexico,1988,521287,244497,46.9,,270341,51.9,5
New York,1988,6485683,3347882,51.6,36,3081871,47.5,
North Carolina,1988,2134370,890167,41.7,,1237258,58,13
North Dakota,1988,297261,127739,43,,166559,56,3
Ohio,1988,4393699,1939629,44.1,,2416549,55,23
Oklahoma,1988,1171036,483423,41.3,,678367,57.9,8
Oregon,1988,1201694,616206,51.3,7,560126,46.6,
Pennsylvania,1988,4536251,2194944,48.4,,2300087,50.7,25
Rhode Island,1988,404620,225123,55.6,4,177761,43.9,
South Carolina,1988,986009,370554,37.6,,606443,61.5,8
South Dakota,1988,312991,145560,46.5,,165415,52.8,3
Tennessee,1988,1636250,679794,41.5,,947233,57.9,11
Texas,1988,5427410,2352748,43.3,,3036829,56,29
Utah,1988,647008,207343,32,,428442,66.2,5
Vermont,1988,243328,115775,47.6,,124331,51.1,3
Virginia,1988,2191609,859799,39.2,,1309162,59.7,12
Washington,1988,1865253,933516,50,10,903835,48.5,
West Virginia,1988,653311,341016,52.2,5,310065,47.5,
