,The Forest,Anesthesia,Lamb,Ride Along 2,13 Hours: The Secret Soldiers of Benghazi,Norm of the North,Dirty Grandpa,The 5th Wave,The Boy,Ip Man 3,Synchronicity,Kung Fu Panda 3,The Finest Hours,Jane Got a Gun,"Hail, Caesar!",Pride + Prejudice + Zombies,The Choice,Deadpool,Zoolander 2,How to Be Single,Risen,The Witch,Race,Gods of Egypt,Triple 9,Zootopia,London Has Fallen,Whiskey Tango Foxtrot,The Other Side of the Door,10 Cloverfield Lane,The Young Messiah,The Perfect Match,"Hello, My Name Is Doris",Miracles from Heaven,The Divergent Series: Allegiant,The Bronze,Midnight Special,Batman v Superman: Dawn of Justice,My Big Fat Greek Wedding 2,Everybody Wants Some!!,God's Not Dead 2,Meet the Blacks,Miles Ahead,The Boss,Hardcore Henry,Demolition,The Invitation,The Jungle Book,Barbershop: The Next Cut,Criminal,Green Room,The Huntsman: Winter's War,Elvis & Nixon,Keanu,Mother's Day,Ratchet & Clank,Captain America: Civil War,Money Monster,The Darkness,Love & Friendship,The Angry Birds Movie,Neighbors 2: Sorority Rising,The Nice Guys,X-Men: Apocalypse,Alice Through the Looking Glass,TMNT 2: Out of the Shadows,Me Before You,Popstar: Never Stop Never Stopping,The Conjuring 2,Warcraft,Now You See Me 2,Finding Dory,Central Intelligence,Independence Day: Resurgence,The Shallows,Free State of Jones,The Neon Demon,The Legend of Tarzan,The BFG,The Purge: Election Year,The Secret Life of Pets,Mike and Dave Need Wedding Dates,Characterz,The Infiltrator,Ghostbusters,Star Trek Beyond,Ice Age: Collision Course,Lights Out,Jason Bourne,Bad Moms,Nerve,Suicide Squad,Ben-Hur,War Dogs,Hands of Stone,The Girl on the Train,Keeping Up with the Joneses,Friend Request,23,Rogue One: A Star Wars Story (film),21
Mother's Day,2.2120337,2.0699298,1.3867936,2.2709546,3.4971569,2.7608025,1.330178,4.176323,2.5393643,3.2950306,3.892702,3.3491979,0.85403734,2.008901,0.6747819,3.1250489,1.1714689,3.8175933,3.9030106,0.58862424,1.0305599,2.5387444,1.6743002,3.3206477,2.6013591,3.021471,3.698864,1.206101,1.3208017,1.8123614,0.8496172,1.5001057,1.3431385,1.0186079,4.212844,1.5103517,4.0733037,3.7723637,0.83143747,1.4825331,1.1544385,1.6150295,1.6727294,2.0019476,3.8247116,1.5668705,1.2526052,2.9176922,1.8769392,3.8476937,2.1316414,3.1096475,3.9052126,2.55002,0.0,3.9237103,4.027118,2.7057858,2.6313202,3.1155965,3.6519973,0.56872344,0.68556297,3.5541894,3.0701718,3.7140837,1.1298611,2.1955416,2.5600474,3.693255,3.560651,2.1453414,1.7771968,4.1702986,1.4080005,2.3881004,0.2781031,3.0447087,2.9252784,2.3974624,2.9742491,1.424781,2.9131012,2.1961925,2.4486835,3.8666403,3.562547,1.7520635,3.8586092,0.9910579,1.5852389,3.9296713,0.53411335,2.1699557,2.1141994,1.4239086,0.996902,1.0876,2.4297407,4.043318,2.9505997
Ratchet & Clank,3.1993723,3.701795,5.0459433,3.400672,2.1142752,2.7617872,4.9189606,0.8534313,3.107109,2.6125057,0.32612842,2.5988536,4.3851447,3.779063,3.8378253,2.877384,4.3587513,1.515519,1.8124698,4.4425607,3.277556,2.9586105,3.9274724,1.6326318,3.058785,2.3738544,2.0413544,4.596658,2.9698527,3.5652988,3.516116,4.769607,4.844221,3.2321687,0.9392598,3.939596,0.82032996,1.4709569,4.249083,4.546952,3.7767992,4.0904837,5.0339017,3.464899,1.3089168,4.8848853,4.918786,2.6272113,4.365618,1.4797839,4.13705,2.1151366,2.02496,3.209483,3.9237103,0.0,1.5869358,2.8645911,1.656188,2.8589747,0.8386262,4.0978885,3.8358884,1.3108857,2.2711515,0.88259435,4.769194,4.1762805,3.1240003,0.94075626,2.15078,2.1315253,4.3224783,0.7182804,2.8436842,3.291813,4.176063,2.8289928,2.561561,3.3527079,2.2746346,5.0003715,2.6018329,3.3586142,3.326698,0.26372516,0.6112336,3.2417264,1.6038138,3.9669402,4.578433,1.7630767,3.7119956,3.543798,3.208064,3.578928,3.8635352,4.76672,1.8597931,0.2612564,2.5820167
Captain America: Civil War,2.9958255,3.1615975,4.8113008,2.8137038,1.0736779,2.7402759,4.6534114,2.0386405,2.773105,2.0376515,1.3204153,1.9697794,4.230189,3.260673,3.9899151,2.401263,4.0761147,0.5574542,0.5876314,4.4567266,3.452134,2.7767067,3.611634,1.4049541,2.3219912,2.6288702,0.90554917,4.557553,3.232381,3.305466,3.7141693,4.6590166,4.8796024,3.5211322,1.8638575,3.7912695,2.0760403,0.37618473,4.2084336,4.1423945,3.7831066,3.643039,5.064552,3.1175284,0.7889107,4.9377985,4.7146206,2.7444768,3.8525662,0.99738365,3.5061479,1.9184257,0.95091856,2.526662,4.027118,1.5869358,0.0,2.0768983,2.376359,2.4207199,1.9210964,4.1069527,4.0360074,1.1985344,2.141186,1.5508718,4.656296,3.5087607,2.7099311,1.1617203,0.94922763,2.7368212,3.8601038,1.9824045,3.221961,3.1198297,4.234757,2.4435008,2.2944624,3.1562915,2.50661,4.7205544,2.795294,2.9101386,2.757349,1.7534139,1.8590527,3.228616,0.79788405,3.929355,4.4573846,0.3837779,3.8590686,3.0455146,2.8499172,3.5562272,3.741253,4.832613,2.537268,1.4261734,2.7209167
Money Monster,2.017987,1.3141836,3.1334002,0.7992382,1.2418467,2.5705078,3.0401173,3.4323292,2.1206505,1.6706647,2.6559758,1.6048853,2.634074,1.4874209,2.7608385,1.72017,2.4489846,1.8385953,1.7587837,2.9397151,2.4645717,2.162552,2.0358157,2.0200496,0.25393543,2.923073,1.4523869,2.8624675,2.0666926,1.6018474,2.6951222,2.9228735,3.1938002,2.341838,3.3526502,2.1860404,3.3937807,1.9110808,2.6118965,2.5064654,2.2892802,1.8319521,3.3381157,1.2865298,2.011469,3.2372763,3.052302,2.788811,2.0793042,1.9916612,1.713775,2.0799203,1.7176315,0.5563562,2.7057858,2.8645911,2.0768983,0.0,2.4675152,1.8317187,3.024343,2.661465,2.725994,2.2315376,2.2565796,2.7965443,2.9633453,1.7457885,1.9914416,2.393232,1.2618387,2.390576,2.156272,3.3754432,2.2373924,2.2054985,2.8599298,1.9399165,2.0901563,2.195501,2.7334762,3.1313593,2.9650035,0.98269427,1.7901703,2.9732952,2.8743281,2.028574,1.8801825,2.349355,2.7526684,1.8236743,2.7135012,1.0735699,1.0433,2.0851398,2.1422186,3.2040114,2.4325302,2.8335626,2.857634
The Darkness,1.8733208,2.7149951,3.7541387,2.6756287,2.4429061,1.5447594,3.6655948,1.8295578,1.9365523,2.08009,1.748476,2.148941,3.0765383,2.7206874,2.715869,2.1314173,3.085752,2.2059672,2.3849068,3.1535373,2.2793407,1.7080002,2.6344407,1.3576009,2.5614164,1.3380673,2.529909,3.2571473,1.6745087,2.3868003,2.4319634,3.3714004,3.481974,1.8607808,1.8903545,2.5690885,1.732811,2.0512314,2.9151669,3.3484612,2.3594108,3.0136626,3.6816409,2.4566596,2.1984346,3.5394385,3.61262,1.4555027,3.2178433,2.3384192,3.0969503,1.3682286,2.7062945,2.56624,2.6313202,1.656188,2.376359,2.4675152,0.0,2.054573,1.2898695,2.914488,2.6731696,1.4335213,1.3879622,1.3986976,3.4276772,3.156632,2.0102904,1.448133,2.4035828,0.55940396,3.1242583,1.8288726,1.4571238,1.987329,2.8926628,1.9388834,1.5896591,2.0616593,1.1880507,3.763155,1.4905667,2.5596018,2.286958,1.5428361,1.1998827,1.8061452,2.40517,2.642344,3.1681483,2.4029236,2.530543,2.7141125,2.398893,2.1821826,2.6232417,3.4174175,0.24496731,1.8189522,1.4690541
Love & Friendship,1.2679813,2.0063818,3.5828803,1.9391384,2.1125789,1.5765249,3.4847844,3.239376,1.2822683,0.4592021,2.7386906,0.5960055,3.039364,2.0020058,3.286911,0.21570276,2.7696877,2.1891203,2.0750997,3.3904104,2.9969711,1.0539242,1.9252917,1.424202,1.8537239,2.0983307,2.2624834,3.3091311,2.2504704,1.8958257,3.1566772,3.1062179,3.6040823,2.5005944,3.1372175,2.1413386,3.2128189,2.0847988,3.0512507,2.8821595,2.3753438,2.3759563,3.7678638,1.8022482,2.4896672,3.6775482,3.4744868,1.8369844,2.3771586,2.576213,2.163018,1.1269288,2.5778718,1.6634684,3.1155965,2.8589747,2.4207199,1.8317187,2.054573,0.0,2.7829254,3.191146,3.2427797,1.7992123,1.2345308,2.5254133,3.36438,2.159129,1.1777252,2.0782266,1.8800385,2.0738616,2.3349407,3.234444,2.2779071,1.0555729,3.2858486,0.2756209,0.9588588,1.0544074,1.8819895,3.5752225,2.1153874,1.8969562,1.3438518,2.906095,2.7271929,1.6730711,2.5080545,2.777605,2.7984867,2.2080827,3.1418629,1.9624275,1.8619533,2.0475612,2.7318065,3.6299796,2.0471838,2.8360066,1.9737548
The Angry Birds Movie,2.8818839,3.6198955,4.783582,3.4924128,2.4946132,2.2405655,4.6523066,0.56217504,2.7261012,2.6352222,1.0470454,2.6681795,4.124717,3.6499975,3.6500115,2.8587122,4.11357,1.9616379,2.1991487,4.206547,3.1055593,2.605032,3.7118282,1.480796,3.2038422,1.7029048,2.4616563,4.383234,2.8360052,3.459111,3.2925406,4.5471277,4.6313024,3.0272164,0.62352383,3.7349215,0.48825786,1.7293494,4.0082726,4.3118253,3.5387583,3.9887803,4.8369613,3.4660335,1.8755398,4.6912465,4.6550703,2.03125,4.2038946,2.0859346,4.0020113,1.8257825,2.5261242,3.3131623,3.6519973,0.8386262,1.9210964,3.024343,1.2898695,2.7829254,0.0,3.9129293,3.679312,1.2066736,1.8908113,0.46248817,4.5306025,4.0414715,2.7854116,0.99226475,2.4477017,1.8153446,4.1289253,0.5980571,2.6494553,3.0136178,3.9036746,2.6740053,2.2347398,3.088667,1.666224,4.7298193,1.9367658,3.4548519,3.0407486,0.61708397,0.3398591,2.971571,2.147076,3.7443173,4.358032,2.1317067,3.4584112,3.616658,3.3107126,3.3708668,3.6578555,4.545865,1.5218041,1.01793,1.9489512
Neighbors 2: Sorority Rising,2.4489763,2.1087267,1.3247154,2.1463995,3.4593797,3.0739095,1.2193333,4.4299297,2.7840896,3.3399417,4.0305943,3.3755784,0.9300671,2.0762405,0.51027966,3.1678917,1.1389431,3.8530629,3.9266038,0.51669264,0.99942833,2.768485,1.716364,3.5048554,2.5314248,3.3654747,3.673459,1.3320827,1.4829096,1.9055831,0.8644894,1.5434314,1.4347144,1.2631403,4.463515,1.6147424,4.3283906,3.8693972,1.0487608,1.3689139,1.3932556,1.4176513,1.7676858,1.9686363,3.8557255,1.6818571,1.211755,3.2596848,1.7730739,3.8456633,2.102058,3.3270228,3.8695207,2.4866726,0.56872344,4.0978885,4.1069527,2.661465,2.914488,3.191146,3.9129293,0.0,0.5631049,3.7411323,3.3180869,3.954381,1.1423478,2.1408038,2.7712765,3.8707662,3.5574656,2.4421365,1.7041398,4.412052,1.6521451,2.5358903,0.49139553,3.1598186,3.1450584,2.529139,3.3089316,1.2865437,3.2571678,2.0820465,2.6045964,4.0711684,3.7986903,2.015047,3.8592398,1.2467022,1.6532713,3.9699943,0.6305073,2.0289047,1.9967889,1.6162562,1.2143753,1.1417135,2.7181616,4.1908727,3.2966354
The Nice Guys,2.5489166,2.3187149,1.8082439,2.2742743,3.4221685,3.1012354,1.7512016,4.181974,2.9128027,3.3726976,3.7938657,3.4056447,1.3482833,2.3132834,0.37743804,3.2174063,1.6012976,3.7544782,3.8711317,0.87813,0.81718814,2.838499,1.9954027,3.4347148,2.617014,3.3119893,3.6256545,1.5180619,1.2340755,2.0080714,0.71338737,1.8102238,1.570282,1.0092542,4.2505608,1.7925205,4.070177,3.7948499,1.2615086,1.8821368,1.4700875,1.7889827,1.874103,2.0569038,3.7061186,1.7578382,1.6840209,3.2466016,2.1819792,3.6897852,2.4481277,3.3017225,3.7965844,2.5945,0.68556297,3.8358884,4.0360074,2.725994,2.6731696,3.2427797,3.679312,0.5631049,0.0,3.6374931,3.3044264,3.7744868,1.5014316,2.5063772,2.9161725,3.7188232,3.552935,2.1852534,2.1128404,4.154384,1.3734757,2.63419,0.7758632,3.2153964,3.1795347,2.638692,3.2463567,1.8287418,3.2363765,2.1550086,2.817356,3.801864,3.5381238,2.038546,3.7392213,1.3640243,1.890289,3.9149227,0.6156388,2.158937,2.0230737,1.6654495,1.3770599,1.288481,2.467544,3.9473226,3.279981
X-Men: Apocalypse,2.2358925,2.923594,4.434755,2.7740252,1.7102704,1.7404597,4.2972856,1.5459838,2.0050938,1.571131,1.2295643,1.5933075,3.8018053,2.9612744,3.6159456,1.8673908,3.6702814,1.2263485,1.3084452,4.030713,3.104712,1.912094,3.102807,0.40058586,2.4230132,1.5582517,1.6966282,4.1068034,2.6699262,2.8768775,3.3172846,4.155148,4.4085255,2.9265442,1.3896291,3.235618,1.5548339,0.8692594,3.7481575,3.8093855,3.1975932,3.392569,4.601488,2.8193903,1.4157075,4.472263,4.3175244,1.6832316,3.5394022,1.6466773,3.2596028,0.93613005,1.8783735,2.496173,3.5541894,1.3108857,1.1985344,2.2315376,1.4335213,1.7992123,1.2066736,3.7411323,3.6374931,0.0,1.1226584,0.814442,4.220652,3.2781878,2.0033438,0.38823238,1.5112756,1.8774832,3.4907184,1.5471094,2.5719693,2.3307898,3.7850516,1.7230773,1.3998928,2.3900106,1.4087424,4.377427,1.7595729,2.7827013,2.228727,1.3357965,1.2237926,2.5110552,1.5944592,3.4552565,3.9177697,1.288339,3.4276688,2.9247286,2.686901,2.9538782,3.340532,4.3688316,1.6272097,1.2870836,1.6710197
Alice Through the Looking Glass,1.3103935,2.4234953,3.7834582,2.5483906,2.3063445,0.6979947,3.6690714,2.3600657,1.0109751,1.3125061,2.2482584,1.432788,3.1782527,2.3834012,3.2936957,1.4056734,3.014176,2.1171703,2.101124,3.501454,2.9077718,0.8948771,2.354962,0.7899243,2.3633962,0.9489698,2.3898997,3.4974387,2.3140283,2.308675,3.0438192,3.4391828,3.800264,2.4948552,2.2347045,2.5148633,2.3404844,1.789043,3.1553319,3.1679037,2.536083,2.873892,3.9893594,2.3963554,2.3619978,3.8787777,3.6661217,0.77581036,2.8849227,2.5476913,2.6501234,0.26726526,2.6649935,2.295441,3.0701718,2.2711515,2.141186,2.2565796,1.3879622,1.2345308,1.8908113,3.3180869,3.3044264,1.1226584,0.0,1.6429738,3.5787702,2.6704478,1.060792,1.4591143,2.053007,1.6110421,2.7981782,2.4019833,2.2016056,1.4219148,3.2801902,1.0138159,0.39014137,1.4936032,0.72556984,3.7558668,1.0450602,2.533787,1.4295259,2.223841,1.956259,1.7550801,2.4805093,2.8761091,3.1718154,2.1276782,3.0556893,2.6257908,2.4693344,2.2879214,2.8140178,3.791821,1.4722557,2.3139238,0.8676524
TMNT 2: Out of the Shadows,2.7338765,3.4517748,4.754291,3.3232305,2.2149515,2.087748,4.6153336,0.7656157,2.5202055,2.3410895,0.97689956,2.3683743,4.1048803,3.4846227,3.7373443,2.6023614,4.0486054,1.6530255,1.8495015,4.249473,3.1905775,2.429825,3.5965083,1.1403501,2.9913611,1.6184647,2.1684263,4.3942423,2.8917723,3.354091,3.389853,4.5244846,4.6690607,3.1059225,0.63332796,3.6696148,0.7712575,1.3496915,4.016999,4.217977,3.5269816,3.8724186,4.8716717,3.341438,1.6481382,4.7312875,4.6315794,1.9085906,4.0596538,1.8861772,3.8170767,1.5490419,2.2555873,3.1019566,3.7140837,0.88259435,1.5508718,2.7965443,1.3986976,2.5254133,0.46248817,3.954381,3.7744868,0.814442,1.6429738,0.0,4.526926,3.8475852,2.5614648,0.63301754,2.1144488,1.9275805,3.9949915,0.7974147,2.7349532,2.868967,3.958737,2.4213848,1.9877778,2.9402392,1.5573896,4.6917415,1.8560897,3.3141875,2.805066,0.7713053,0.6218158,2.907936,1.8994784,3.7413135,4.3193054,1.7732729,3.5390303,3.468449,3.1911774,3.3342385,3.6347418,4.5992265,1.6351479,0.9673287,1.834751
Me Before You,2.416421,1.927007,0.5915838,2.3321052,4.0104074,3.239822,0.82162213,5.0703373,2.8154883,3.612366,4.712513,3.666381,0.5182118,1.8298607,1.596408,3.358107,0.83446777,4.43932,4.4568353,0.7256389,2.0482175,2.8610053,1.5077683,3.9219494,2.7870224,3.6940095,4.2321873,0.5411985,1.9641271,1.7420899,1.9049842,0.6299437,0.67046064,1.7264129,5.0784354,1.3042166,4.9771733,4.396579,0.5953567,1.1130964,1.1995448,1.4067489,0.9499163,1.988877,4.5138183,0.943954,0.4715323,3.4729915,1.4550463,4.521766,1.8142116,3.6234474,4.473575,2.64299,1.1298611,4.769194,4.656296,2.9633453,3.4276772,3.36438,4.5306025,1.1423478,1.5014316,4.220652,3.5787702,4.526926,0.0,1.8910046,2.807005,4.416155,4.0360293,2.9282558,1.3961508,5.062446,2.127421,2.5924237,1.0017015,3.3239756,3.3363776,2.5700173,3.6117857,0.9794975,3.5635602,2.2665656,2.6127925,4.734604,4.4390025,1.9816122,4.5008764,0.93872416,0.9079466,4.505391,1.5908636,2.1592522,2.285276,1.504444,1.039605,0.61635774,3.2187734,4.86995,3.5495913
Popstar: Never Stop Never Stopping,1.6670564,0.81218374,1.8797494,1.2710162,2.8396316,2.561981,1.8089614,4.5492115,1.85919,2.329672,4.0303745,2.3581636,1.6159152,0.71523166,2.506418,2.126313,1.2420958,3.348445,3.235043,2.177055,2.528111,2.0275724,0.9489658,2.9371278,1.5786734,3.1694129,3.0546048,2.0028663,2.2328584,1.2384117,2.5846376,1.8003075,2.3441226,2.2823884,4.459156,1.3335947,4.498834,3.278467,1.8240857,1.1584228,1.6723211,0.8316133,2.4959743,1.2621119,3.571025,2.4627104,1.8394281,2.8838313,0.5515181,3.593846,0.17753698,2.6529214,3.3510165,1.3746419,2.1955416,4.1762805,3.5087607,1.7457885,3.156632,2.159129,4.0414715,2.1408038,2.5063772,3.2781878,2.6704478,3.8475852,1.8910046,0.0,1.7357562,3.5579169,2.746256,2.8717494,0.6690472,4.540669,2.4243674,1.838196,2.2177646,2.1714163,2.3381171,1.7901268,3.0378141,1.894776,3.0675216,1.4163481,1.3480313,4.207089,3.9754648,1.7206715,3.482298,1.7223701,1.6513184,3.2976432,2.4103045,1.2378707,1.5695468,1.597093,1.5706115,2.394668,3.0380225,4.1925564,2.981043
The Conjuring 2,0.60877776,1.676915,2.938977,2.0359426,2.5337467,0.9030247,2.8338678,3.291418,0.18666573,1.4390084,3.0531228,1.56056,2.4156194,1.5696911,2.8967478,1.3244162,2.1724613,2.6498907,2.5668635,2.8719237,2.6594784,0.5016763,1.4896516,1.6276377,2.007402,1.5863948,2.6853583,2.7990556,2.1104465,1.6688415,2.743621,2.649641,3.1277163,2.217646,3.1718707,1.7745653,3.2584062,2.389567,2.4818861,2.2776158,1.9239805,2.0766964,3.3137205,1.8365872,2.921785,3.23064,2.8397813,1.2416644,1.9543997,3.0550013,1.7271943,1.1517487,3.0050983,1.8485497,2.5600474,3.1240003,2.7099311,1.9914416,2.0102904,1.1777252,2.7854116,2.7712765,2.9161725,2.0033438,1.060792,2.5614648,2.807005,1.7357562,0.0,2.3493025,2.2938056,1.9390789,1.8636504,3.3237293,2.0924013,0.8816878,2.7135136,0.97142076,0.72462165,0.91996044,1.4416037,2.9205065,1.5033207,2.0655103,0.4519842,3.0966833,2.814937,1.2470057,2.9532404,2.2454708,2.3842485,2.6091328,2.6570394,2.0731792,2.071904,1.7045783,2.1732326,3.146058,1.9734131,3.162212,1.3632584
Warcraft,2.5317674,3.1660163,4.651004,2.9493008,1.738131,2.0497043,4.5143404,1.2685081,2.3473048,1.8268224,0.8648994,1.8313836,4.0057178,3.2191176,3.7046895,2.125301,3.899952,1.1500354,1.3164581,4.183794,3.1699069,2.225502,3.3605905,0.7481255,2.5908134,1.7872845,1.6961246,4.2851987,2.7612615,3.08983,3.3960545,4.3647,4.5724096,3.029595,1.1443378,3.4594111,1.2765296,0.8846591,3.9286835,4.0527487,3.3896897,3.6107333,4.765452,3.0075438,1.2370998,4.6297517,4.5300264,1.9630771,3.8001137,1.4712418,3.534687,1.2777776,1.8174622,2.6903484,3.693255,0.94075626,1.1617203,2.393232,1.448133,2.0782266,0.99226475,3.8707662,3.7188232,0.38823238,1.4591143,0.63301754,4.416155,3.5579169,2.3493025,0.0,1.6100913,1.9323882,3.754107,1.2430394,2.655163,2.6105046,3.9322448,2.0259962,1.7442534,2.6697872,1.6526368,4.594725,2.004576,2.9412212,2.569245,0.99090207,0.9573427,2.7375166,1.4682013,3.6355534,4.136641,1.2895594,3.5359824,3.099991,2.8255925,3.152239,3.5240395,4.521424,1.6597286,0.9053812,1.9396845
Now You See Me 2,2.531184,2.441034,4.1828785,1.9823873,0.40253606,2.6062107,4.0340166,2.7241194,2.4065876,1.4842929,1.8747834,1.3786395,3.6403701,2.5623138,3.5304072,1.7984265,3.43543,0.73968476,0.54044634,3.902807,3.0661716,2.4075937,2.938858,1.4671756,1.4897857,2.739762,0.45417687,3.9610324,2.7772508,2.6389163,3.3315992,4.003703,4.2877536,3.0845752,2.5886257,3.149493,2.7260704,0.86010516,3.6476946,3.4751186,3.2269013,2.8851,4.463677,2.3666246,1.0713431,4.3500085,4.093801,2.728784,3.099895,1.1185231,2.7535932,1.8106622,0.78248256,1.6848708,3.560651,2.15078,0.94922763,1.2618387,2.4035828,1.8800385,2.4477017,3.5574656,3.552935,1.5112756,2.053007,2.1144488,4.0360293,2.746256,2.2938056,1.6100913,0.0,2.5983577,3.1350217,2.6647692,2.8468063,2.6132803,3.7427936,1.9750742,2.04402,2.6264408,2.5749707,4.103898,2.8477325,2.1049461,2.2394557,2.3148687,2.3310113,2.7394454,0.90876,3.3778527,3.7987525,0.6178668,3.4379423,2.220149,2.0734084,2.9833434,3.184456,4.2581143,2.4878342,2.025032,2.754066
Finding Dory,1.6590228,2.4293883,3.28853,2.4371638,2.6082253,1.6025611,3.2217638,2.3543093,1.8649992,2.1771054,2.195643,2.2509902,2.6100364,2.4233367,2.262986,2.1363323,2.6567602,2.5191953,2.6792378,2.6525967,1.9024832,1.6258225,2.2579284,1.7221236,2.4331708,1.5780281,2.7369099,2.748432,1.1711404,2.0187368,2.025135,2.8701587,2.952533,1.3249623,2.424197,2.1247196,2.2496543,2.4089894,2.4203362,2.9546683,1.8687575,2.6413474,3.156019,2.1299806,2.5123656,3.013682,3.1419046,1.5941777,2.8588908,2.6144853,2.800586,1.6164923,2.932369,2.401691,2.1453414,2.1315253,2.7368212,2.390576,0.55940396,2.0738616,1.8153446,2.4421365,2.1852534,1.8774832,1.6110421,1.9275805,2.9282558,2.8717494,1.9390789,1.9323882,2.5983577,0.0,2.7573512,2.347411,0.9229712,1.7828704,2.4092567,1.9677265,1.696782,1.8500934,1.4335135,3.3267753,1.6517698,2.2872565,2.172962,2.036029,1.7060561,1.4228867,2.6814945,2.1601164,2.6821795,2.713884,2.0886729,2.4284377,2.1196177,1.7211509,2.1757207,2.884556,0.31733528,2.289566,1.6374139
Central Intelligence,1.6574532,1.1603878,1.3969547,1.5671588,3.1979368,2.5703716,1.3213655,4.6653285,1.9467857,2.57093,4.205052,2.6201618,1.1433194,1.0213683,2.1150007,2.3188896,0.7115485,3.6609545,3.589847,1.6811608,2.2468414,2.0441542,0.5975618,3.1435707,1.9803379,3.1667643,3.4233332,1.6122737,2.0088148,1.2528727,2.2414439,1.310483,1.9092348,1.9725593,4.604677,0.98200375,4.6000834,3.599795,1.4346256,0.6890434,1.3299382,0.605541,2.108323,1.3621882,3.8459327,2.0836587,1.338381,2.884948,0.20505244,3.8674474,0.6876,2.8165424,3.7128065,1.7663932,1.7771968,4.3224783,3.8601038,2.156272,3.1242583,2.3349407,4.1289253,1.7041398,2.1128404,3.4907184,2.7981782,3.9949915,1.3961508,0.6690472,1.8636504,3.754107,3.1350217,2.7573512,0.0,4.66303,2.195568,1.7367855,1.7594327,2.3199291,2.472454,1.687268,3.0590255,1.4128318,3.0319674,1.6082288,1.5553478,4.3287354,4.062744,1.5795798,3.791425,1.4291867,1.1802918,3.6602962,2.0237126,1.4381449,1.6892893,1.335292,1.3576189,1.9186494,2.9703813,4.362332,2.9810581
Independence Day: Resurgence,3.4368675,4.0920806,5.3190827,3.90643,2.683056,2.8048992,5.1872287,0.16522995,3.2746365,3.0348616,0.97903675,3.047607,4.6608453,4.140907,4.1283846,3.294021,4.655254,2.0670195,2.327535,4.7244573,3.568074,3.158593,4.2577233,1.892959,3.5729053,2.2604806,2.6020248,4.8986864,3.3303776,3.9547336,3.770528,5.086042,5.144032,3.538548,0.3993861,4.275222,0.18706317,1.8847947,4.5312796,4.8469415,4.0771565,4.4901605,5.340723,3.9284024,1.9150853,5.1916313,5.192167,2.591312,4.726064,2.1165564,4.501033,2.311012,2.5963223,3.7131357,4.1702986,0.7182804,1.9824045,3.3754432,1.8288726,3.234444,0.5980571,4.412052,4.154384,1.5471094,2.4019833,0.7974147,5.062446,4.540669,3.3237293,1.2430394,2.6647692,2.347411,4.66303,0.0,3.1557329,3.5651133,4.4231367,3.1504674,2.7500987,3.6371896,2.2269027,5.263746,2.5007362,3.8751078,3.5660212,0.5275808,0.6612055,3.520509,2.197696,4.2614913,4.900663,2.240719,3.9583998,4.048108,3.7316797,3.9054878,4.1651607,5.059111,2.0555336,0.8684783,2.5076296
The Shallows,1.6583585,1.9923967,2.5463443,2.0046067,2.7956688,2.089005,2.516929,3.1803432,2.056093,2.43335,2.8479187,2.4907315,1.8803823,1.9903747,1.5429343,2.2885883,1.9908383,2.939651,3.0681007,1.8424194,1.367452,1.8620785,1.7484553,2.3557467,2.190502,2.2874825,2.9769425,1.9336377,0.3086252,1.4906929,1.4534444,2.0906355,2.1081483,0.4358175,3.2491412,1.4918697,3.0721452,2.9153786,1.6402966,2.333332,1.1590325,2.0035794,2.3238533,1.6102154,2.9292035,2.18006,2.3956337,2.2005386,2.2866974,2.9666328,2.337899,2.1960442,3.1830049,2.12127,1.4080005,2.8436842,3.221961,2.2373924,1.4571238,2.2779071,2.6494553,1.6521451,1.3734757,2.5719693,2.2016056,2.7349532,2.127421,2.4243674,2.0924013,2.655163,2.8468063,0.9229712,2.195568,3.1557329,0.0,1.7799952,1.6663276,2.2255893,2.1343668,1.8142611,2.1513395,2.634403,2.2815466,1.8099391,2.1796112,2.7919588,2.5029526,1.1301161,3.027673,1.4123583,1.9510593,3.1239448,1.4450351,1.9182471,1.6398001,1.0943801,1.471875,2.0266302,1.2258136,2.9771001,2.2683673
Free State of Jones,0.6145346,1.8004048,2.8168995,2.0176568,2.7828887,1.2500995,2.7344959,3.547301,0.90014076,1.4505533,3.2335932,1.578734,2.2843108,1.6991646,2.6739962,1.1654553,2.0440726,2.9129212,2.8658378,2.6372633,2.5123215,0.6061314,1.2236912,1.9478214,2.1563933,1.9029748,2.9648633,2.5881069,1.7821928,1.5148294,2.5792773,2.32973,2.8533187,1.8917065,3.4844444,1.4182925,3.4925761,2.7685893,2.3235655,2.2169442,1.6367416,1.9297448,3.0453908,1.6410555,3.1390486,2.9652886,2.6993036,1.5672756,1.8566848,3.2298076,1.8275816,1.4858599,3.2759004,1.9213597,2.3881004,3.291813,3.1198297,2.2054985,1.987329,1.0555729,3.0136178,2.5358903,2.63419,2.3307898,1.4219148,2.868967,2.5924237,1.838196,0.8816878,2.6105046,2.6132803,1.7828704,1.7367855,3.5651133,1.7799952,0.0,2.5350237,0.920732,1.1024897,0.09063207,1.7431285,2.8279142,1.8104639,1.9315795,1.0808998,3.269704,2.9863963,0.9905779,3.1875095,2.1088822,2.0242953,2.9619553,2.4876516,1.9436609,1.8825544,1.3659661,2.1333787,2.862884,1.8852693,3.3377113,1.717361
