# source, target, id, weight
43,89,1975,1
43,74,1976,1
43,100,1977,1
43,49,1978,1
43,77,1979,1
43,79,1980,1
43,93,1981,1
43,46,1982,1
43,45,1983,1
43,51,1984,1
43,95,1985,1
43,101,1986,1
43,70,1987,1
43,96,1988,1
43,71,1989,1
43,75,1990,2
43,48,1991,2
43,103,1992,2
43,102,1993,2
43,83,1994,2
43,98,1995,2
43,89,1996,2
43,73,1997,-1
43,53,1998,-1
43,47,1999,-1
43,57,2000,-1
43,15,2001,-1
43,47,2002,-2
43,53,2003,-2
44,72,2373,1
44,51,2374,1
44,88,2375,1
44,83,2376,1
44,98,2377,1
44,89,2378,1
44,50,2379,1
44,73,2380,1
44,78,2381,1
44,77,2382,2
44,88,2383,2
46,18,1886,-1
46,43,1887,-1
46,99,1888,-1
46,101,1889,-1
46,70,1890,-1
46,96,1891,-1
47,99,2043,1
47,75,2044,1
47,71,2045,1
47,100,2046,1
47,102,2047,1
47,46,2048,1
47,95,2049,1
47,101,2050,1
47,48,2051,1
47,96,2052,1
47,75,2053,2
47,45,2054,2
47,70,2055,2
47,43,2056,2
47,49,2057,2
47,103,2058,2
47,102,2059,2
47,51,2060,-1
47,88,2061,-1
47,83,2062,-1
47,89,2063,-1
47,77,2064,-1
47,50,2065,-1
47,73,2066,-1
47,78,2067,-1
48,43,2025,1
48,75,2026,1
48,100,2027,1
48,46,2028,1
48,95,2029,1
48,53,2030,1
48,75,2031,2
48,45,2032,2
48,70,2033,2
48,47,2034,2
48,49,2035,2
48,103,2036,2
48,102,2037,2
48,74,2038,2
48,80,2039,-1
48,57,2040,-1
48,67,2041,-1
48,57,2042,-2
49,75,2138,2
49,70,2139,2
49,48,2140,2
49,47,2141,2
49,103,2142,2
49,102,2143,2
49,104,2144,-1
49,100,2145,-1
49,80,2146,-1
49,101,2147,-1
49,53,2148,-1
49,74,2149,-1
49,53,2150,-2
50,51,2384,1
50,88,2385,1
50,83,2386,1
50,44,2387,1
50,98,2388,1
50,77,2389,1
50,89,2390,1
50,73,2391,1
50,78,2392,1
50,85,2393,1
50,88,2394,2
51,86,2421,1
51,89,2422,1
51,81,2423,1
51,72,2424,1
51,88,2425,1
51,83,2426,1
51,44,2427,1
51,98,2428,1
51,50,2429,1
51,78,2430,1
51,77,2431,2
51,73,2432,2
51,88,2433,2
52,12,1102,1
52,28,1103,1
52,54,1104,1
52,55,1105,1
52,22,1106,1
52,19,1107,1
52,6,1108,2
52,33,1109,2
52,37,1110,2
52,24,1111,2
52,23,1112,2
52,20,1113,2
52,19,1114,2
52,35,1115,-1
52,0,1116,-1
52,1,1117,-1
52,13,1118,-1
52,39,1119,-1
52,34,1120,-1
52,40,1121,-1
52,46,1122,-1
52,29,1123,-1
52,4,1124,-1
52,7,1125,-1
52,36,1126,-1
52,56,1127,-1
52,57,1128,-1
53,99,2163,1
53,102,2164,1
53,100,2165,1
53,89,2166,1
53,98,2167,1
53,79,2168,1
53,3,2169,1
53,93,2170,1
53,58,2171,1
53,95,2172,1
53,78,2173,1
53,96,2174,1
53,58,2175,2
53,101,2176,2
53,99,2177,2
53,60,2178,-1
53,62,2179,-2
53,65,2180,-2
53,66,2181,-2
53,59,2182,-2
55,84,1509,1
55,83,1510,2
55,85,1511,2
55,84,1512,-2
56,40,1324,1
56,51,1325,1
56,39,1326,1
56,75,1327,1
56,76,1328,1
56,4,1329,1
56,49,1330,1
56,77,1331,1
56,48,1332,1
56,73,1333,1
56,22,1334,1
56,53,1335,1
56,19,1336,1
56,47,1337,1
56,78,1338,1
56,70,1339,1
56,36,1340,2
56,37,1341,2
56,29,1342,2
56,77,1343,2
56,79,1344,-2
57,81,2183,1
